계,컴퍼,회사,월,P,마지막,약대22,약대24,약대28,30,31,36,37,38,39,48,49,60,61
23-12,아만들,S/SH,2001,48,24-12,25-09,25-11,26-03,26-05,26-06,26-11,26-12,27-01,27-02,27-11,27-12,28-11,28-12
24-01,태백이엔지,S/SH,2000,48,25-01,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-01,에스테크엠,S,1000,38,25-01,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-01,위드시스,S,1000,38,25-01,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-01,다온데크(신계약),M/S,1998,38,25-03,25-10,25-12,26-04,26-06,26-07,26-12,27-01,27-02,27-03,27-12,28-01,28-12,29-01
24-02,잇츠,M/S,2004,38,25-04,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-02,온결,S/M,3000,38,25-03,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-02,신도이엔지,SH,1001,48,25-02,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-02,뉴스텍컴퍼니,SH,1003,48,25-02,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-02,오픈찬스,SH,1003,48,25-02,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-02,디에스퓨어시스템,SH,1216,48,25-02,25-11,26-01,26-05,26-07,26-08,27-01,27-02,27-03,27-04,28-01,28-02,29-01,29-02
24-03,온결,M/S,3006,38,25-04,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,명산,S,1000,38,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,파로스,K,1000,60,25-03,25-12,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-03,다담미트(코드),SH,1004,48,25-04,26-02,26-02,26-06,26-08,26-09,27-02,27-03,27-04,27-05,28-02,28-03,29-02,29-03
24-04,브랜드라디오(5월계약포함),SH/S,1001,38/48,25-05,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,대동미트,S,1000,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,이엘포장,S,500,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,케이인더스,S,500,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,윤홍건설,S,1000,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
24-04,더울림코퍼레이션,S,1000,38,25-04,26-01,26-03,26-07,26-09,26-10,27-03,27-04,27-05,27-06,28-03,28-04,29-03,29-04
